Forest_Remnant_ID,Year_of_Survey,Marsh_Crawler,Leaf_Hopper,Stream_Singer,Boulder_Climber,Moss_Dweller,Glimmer_Newt,Shade_Salamander,Pond_Croaker,Wetland_Wanderer,Forest_Frog,Spotted_Newt,Green_Treefrog,Striped_Salamander,Rock_Toad,Mud_Salamander,Glass_Frog,Dart_Frog,Rain_Frog,Mountain_Salamander,Cave_Salamander,Ridge_Newt,Bog_Toad,Dune_Toad,Common_Frog,Smooth_Newt,Emerald_Pipit,Crimson_Screamer,Ghost_Toad,River_Glide,Shadow_Salamander,Crystal_Frog,Whispering_Newt,Sun_Basker,Night_Singer,Burrow_Dweller
F01,2020,0,2,0,7,10,13,0,10,6,12,11,0,18,10,1,0,8,0,0,12,0,20,0,14,8,0,10,15,1,11,10,10,15,7,0
F02,2020,1,1,3,8,10,4,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,1,6,0,0,1,1,0,2,0,1
F03,2020,11,11,7,8,6,9,10,12,14,17,9,8,5,17,17,17,3,11,14,20,15,15,14,11,6,7,11,15,11,12,13,15,19,9,7
F04,2020,0,8,3,4,7,8,6,0,0,14,3,15,1,9,16,0,4,1,0,0,11,11,0,7,0,5,0,10,7,1,4,9,2,0,11
F05,2020,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F06,2020,9,0,0,16,13,16,14,16,18,10,8,10,16,15,15,20,11,0,19,8,0,16,14,0,14,8,12,15,14,7,18,10,11,16,15
F07,2020,0,0,1,10,8,0,0,5,1,9,0,14,11,3,0,9,10,0,0,8,0,7,0,9,2,9,11,10,0,10,0,11,0,4,13
F08,2020,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
F09,2020,18,10,8,14,9,21,19,5,13,11,13,14,20,12,20,14,12,15,16,21,23,17,6,14,9,16,14,11,15,14,17,11,11,10,15
F10,2020,0,0,9,2,11,0,7,0,0,8,3,1,0,8,0,9,0,1,0,11,0,13,0,11,0,1,0,4,0,1,0,0,7,9,9
F11,2020,0,6,2,0,18,4,14,0,0,0,5,8,0,13,9,7,7,18,8,10,10,6,9,0,7,0,0,5,0,7,4,0,11,1,0
F12,2020,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0
F13,2020,9,16,10,17,14,22,14,16,14,21,16,18,13,19,21,14,23,11,19,21,12,13,17,18,16,15,14,12,16,21,16,18,14,20,22
F14,2020,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,8,0,0,0,0,1
F15,2020,7,3,10,15,7,6,9,0,0,9,4,14,10,11,0,5,1,17,0,13,6,12,0,9,19,11,10,13,0,18,1,14,26,9,11
F16,2020,0,5,0,5,4,7,0,0,1,15,0,16,5,10,8,9,0,0,3,7,5,11,0,7,8,7,0,5,1,5,0,9,2,8,0
F17,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0
F18,2020,12,13,8,13,18,14,14,0,0,13,21,0,13,8,13,12,14,18,16,11,10,3,8,11,8,6,10,15,0,14,3,10,15,18,15
F19,2020,6,1,1,0,3,11,12,10,7,1,0,15,4,5,17,4,5,0,10,0,0,8,6,1,0,1,11,0,0,2,5,0,11,0,9
F20,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0
F01,2021,8,7,6,0,12,7,9,11,0,16,6,14,11,16,0,8,10,6,0,17,12,0,0,6,15,15,7,9,9,7,12,0,0,7,12
F02,2021,1,0,0,0,0,1,0,0,0,2,0,0,4,0,0,2,9,0,0,0,0,0,1,10,1,4,0,1,0,0,0,0,7,0,0
F03,2021,16,16,7,7,12,15,21,3,15,0,16,11,10,13,15,0,7,11,14,10,0,11,17,19,0,19,18,15,14,18,10,11,12,5,9
F04,2021,7,9,9,6,4,8,6,0,0,0,14,0,0,6,8,16,0,3,0,0,9,2,0,8,0,7,12,1,0,7,10,9,6,0,0
F05,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
F06,2021,14,4,10,12,13,18,19,10,11,5,12,11,13,5,13,18,6,10,4,16,16,14,14,6,0,0,12,13,7,12,6,14,13,9,10
F07,2021,4,6,5,0,17,8,20,4,7,10,9,8,9,18,9,2,6,4,0,11,14,1,0,13,7,5,11,13,7,5,10,11,11,8,12
F08,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0
F09,2021,13,16,14,17,14,6,12,11,6,8,7,5,17,14,15,22,13,19,11,9,18,17,13,11,13,17,15,18,15,15,14,16,17,22,6
F10,2021,0,5,2,0,0,7,0,0,0,0,0,0,0,8,13,11,7,2,0,4,6,11,0,0,13,5,0,6,0,0,9,0,11,3,0
F11,2021,0,8,6,0,6,11,0,0,0,13,11,0,0,8,0,0,3,0,9,11,0,6,6,1,0,6,10,0,0,10,7,6,4,0,0
F12,2021,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0
F13,2021,8,21,18,19,22,24,18,23,20,13,21,14,17,18,19,18,23,12,18,17,20,21,14,18,12,16,19,10,13,13,27,11,14,24,11
F14,2021,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
F15,2021,21,12,0,0,9,5,0,0,0,0,4,0,13,12,0,0,16,13,11,0,11,1,0,12,8,13,8,0,0,0,4,10,0,13,11
F16,2021,4,0,0,0,7,7,0,8,0,5,3,3,13,0,0,1,0,0,11,0,13,0,1,0,2,0,0,0,0,7,0,12,1,6,0
F17,2021,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
F18,2021,9,8,1,8,13,13,22,0,0,11,13,16,8,13,16,9,6,14,14,14,4,7,1,8,9,11,11,10,0,14,10,8,7,4,12
F19,2021,5,17,0,0,3,2,12,0,0,0,0,5,9,0,0,11,10,0,7,0,4,6,8,0,1,0,0,10,2,14,19,11,6,7,0
F20,2021,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F01,2022,8,12,8,0,14,3,10,16,0,7,16,13,12,14,13,0,6,0,0,9,0,16,0,9,4,14,0,0,20,15,5,4,9,0,8
F02,2022,0,0,0,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,9,0,0,0,0,1,2,0,1,0,0,0,0,0
F03,2022,18,16,5,10,0,14,14,8,0,13,15,13,16,14,10,15,15,15,9,9,9,16,10,11,23,0,13,13,14,8,11,12,0,19,14
F04,2022,6,0,3,1,5,5,6,8,10,6,0,0,1,1,0,0,0,0,0,4,0,1,0,2,4,0,9,1,0,1,4,7,8,5,1
F05,2022,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F06,2022,10,12,13,0,9,15,15,14,20,7,10,15,14,7,0,13,0,7,9,12,15,14,19,18,11,11,8,15,0,15,13,0,9,14,10
F07,2022,0,4,15,7,0,9,8,8,0,6,17,10,0,0,0,0,12,16,0,8,9,0,0,7,0,12,6,6,0,3,8,0,0,11,0
F08,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
F09,2022,14,18,18,12,10,7,10,16,10,17,14,16,12,7,10,0,15,16,10,18,15,11,18,14,13,13,13,16,8,6,7,10,17,15,0
F10,2022,0,1,12,8,0,0,0,0,0,0,15,0,2,14,12,0,11,2,0,7,8,0,0,13,5,5,6,4,8,0,7,15,3,4,0
F11,2022,0,11,10,5,0,7,1,0,0,0,5,18,0,0,0,1,11,0,4,0,4,8,4,4,1,8,2,5,0,0,0,6,0,10,0
F12,2022,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
F13,2022,9,10,19,17,21,13,20,17,15,18,22,17,20,20,16,23,12,13,22,18,14,16,18,11,16,9,20,17,18,18,21,10,20,21,15
F14,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,7,4
F15,2022,11,5,9,8,16,19,13,0,0,10,7,5,16,8,8,14,7,10,0,14,0,6,15,13,8,12,8,14,0,3,12,9,15,4,11
F16,2022,0,0,17,0,0,0,13,0,8,0,0,0,11,0,8,8,0,1,1,9,0,6,4,2,14,11,13,1,11,0,0,0,4,5,4
F17,2022,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
F18,2022,6,5,6,16,14,15,8,0,0,10,7,10,11,21,13,6,5,14,16,12,10,8,15,15,10,11,6,15,0,13,7,9,12,16,11
F19,2022,7,0,4,0,0,8,0,6,4,0,10,9,0,0,0,10,11,0,0,7,0,9,7,18,9,5,0,12,3,0,0,0,4,7,5
F20,2022,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
F01,2023,0,8,8,3,5,0,6,16,14,4,2,8,8,9,8,8,8,0,0,4,1,6,0,0,6,10,15,0,10,21,9,15,5,13,13
F02,2023,0,7,5,0,0,0,0,0,0,0,5,6,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,8,4
F03,2023,12,10,9,12,12,11,18,10,9,18,10,10,16,15,9,19,10,12,12,9,9,13,18,0,15,11,16,14,11,9,14,15,15,7,0
F04,2023,0,0,0,0,10,6,1,2,7,5,11,0,0,12,0,6,0,8,0,15,0,1,0,12,0,2,3,0,4,5,0,1,7,11,0
F05,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,5,0,0
F06,2023,12,10,12,12,10,8,17,15,18,0,16,15,13,14,6,6,5,4,10,13,14,11,13,5,3,7,12,11,9,8,13,9,19,10,8
F07,2023,9,0,3,15,1,0,0,13,3,0,7,9,10,0,0,10,15,9,0,10,10,5,0,4,8,14,9,7,0,14,13,8,0,12,6
F08,2023,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F09,2023,14,9,21,14,12,18,10,20,13,17,14,11,17,8,9,12,15,6,9,12,9,14,20,9,14,18,16,21,13,12,12,15,6,16,10
F10,2023,3,0,2,7,0,0,10,0,0,8,1,0,1,3,0,11,11,0,0,11,0,1,0,0,7,0,0,0,4,0,0,6,0,1,10
F11,2023,0,9,0,0,4,7,7,0,0,0,10,10,0,0,0,9,0,0,1,0,0,1,0,5,0,11,2,9,0,10,1,8,8,7,4
F12,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F13,2023,11,17,17,14,13,13,13,15,14,7,8,13,22,17,18,16,21,15,12,18,13,15,13,12,16,13,10,17,13,17,9,15,23,18,12
F14,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,0
F15,2023,5,11,9,0,16,11,0,0,0,10,17,14,13,12,5,15,9,14,14,0,11,11,0,10,15,18,0,16,0,9,4,15,28,12,8
F16,2023,0,0,1,0,0,0,7,3,0,0,0,2,14,3,0,1,4,0,0,0,11,6,0,0,0,14,0,0,0,5,6,0,4,6,1
F17,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
F18,2023,8,8,16,0,17,10,10,0,0,19,18,18,4,8,8,9,4,13,11,8,12,0,12,10,18,15,14,9,0,17,9,9,6,0,0
F19,2023,1,0,0,1,3,5,0,8,8,5,0,11,1,0,10,0,7,0,14,9,12,0,11,4,0,0,0,9,8,7,0,13,5,16,1
F20,2023,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F01,2024,9,13,6,0,7,12,10,10,14,8,9,6,14,13,12,9,16,12,0,16,3,4,0,14,4,0,10,1,0,8,9,1,14,13,9
F02,2024,1,0,0,1,0,0,1,0,0,2,3,11,0,0,3,2,0,1,8,0,1,0,1,0,6,5,0,3,0,1,0,0,0,0,4
F03,2024,5,9,17,6,18,0,14,7,14,12,8,16,10,5,5,16,12,0,8,13,15,20,19,16,7,14,11,8,0,9,14,4,16,10,16
F04,2024,12,7,0,11,0,2,0,10,0,0,0,0,0,0,12,0,5,0,0,6,7,0,0,11,0,8,1,0,0,3,0,0,11,1,2
F05,2024,0,0,2,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
F06,2024,0,0,13,15,9,0,18,12,0,12,20,10,10,13,13,13,0,17,8,13,14,15,13,14,5,0,13,7,11,12,20,6,9,0,16
F07,2024,9,4,8,9,13,9,6,0,10,0,10,0,0,0,1,0,1,0,0,1,8,12,0,0,1,1,22,9,0,0,4,6,9,1,11
F08,2024,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
F09,2024,13,23,6,15,16,9,18,6,15,0,9,12,12,16,15,10,0,19,13,21,3,15,12,16,11,11,3,24,14,28,0,13,10,8,14
F10,2024,0,14,0,7,0,0,0,0,8,3,0,8,11,2,9,0,0,0,0,10,0,8,0,4,0,5,12,4,4,7,2,0,6,1,11
F11,2024,10,5,2,8,4,5,9,0,0,9,7,9,5,6,14,10,16,12,3,13,9,10,8,9,8,7,7,7,0,9,4,9,6,8,7
F12,2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0
F13,2024,23,17,16,10,16,27,21,15,17,11,11,10,18,25,17,12,22,14,18,11,12,14,8,16,25,17,11,20,15,11,23,19,13,14,17
F14,2024,3,0,0,1,0,1,1,0,0,0,0,6,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
F15,2024,0,9,9,0,14,10,16,0,0,15,20,8,12,0,6,15,11,14,18,0,13,7,7,10,16,7,11,13,0,12,14,6,12,6,3
F16,2024,13,10,2,7,12,0,0,1,9,8,9,5,0,7,0,8,0,9,0,1,3,0,0,0,1,3,1,5,0,4,5,0,3,5,2
F17,2024,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,1,0,0
F18,2024,1,11,10,7,11,21,14,0,0,17,8,11,12,15,19,15,8,16,17,4,17,6,8,18,7,16,15,9,0,10,10,1,15,6,11
F19,2024,0,6,9,0,0,0,9,0,1,11,0,4,0,10,5,0,1,0,3,7,2,5,0,7,0,9,0,7,0,0,11,1,6,0,11
F20,2024,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
